Table Name:,Name,Title (In English),Original title,Country,Province,Date/Year of census,Date/Year of Publication,Author/Publisher,Volume number (if applicable),File size of pdf original file  (KB),Number of Pages of Table,Number of pages of original file,Colonising power,,Meta Data Log of Tables collected
RYUKYUISLANDS_1960_T3_g0cs_022�,cryu_19600101_0003_75610,1960 Population Census,1960???????,RYUKYUI ISLANDS,RYUKYUI ISLANDS,1st December 1960,Feb-64,Ryukyu Government Planning Bureau Statistics Department,2,52200,1,335,Japan,,
Angola_1866_T1_g00s,cago_19010101_0001_7627301,General Population Census 1940,Censo Geral da Popula��o 1940,Angola,National Record,1940,1941,COLONIA DE ANGOLA - REPARICAO TECNICA DE ESIAISICA GERAL,Volume 1,935,1,149,Portugal,,
Angola_1970_T1_g50p,cago_19700101_0002_7755201,Monthly Statistics Bulletin,BOLETIM MENSALDE ESTATISTICA,Angola,National Record,1970,"May, 1976",Rep�blica Popular de ANGOLA - Direcc�o dos Servicos de Estat�stica,N/A,19128,6,148,Portugal,,
Angola_1983_T1_g50s,cago_19790101_0002_7685701,Luanda Census 1983: Preliminary Findings,Censo de Luanda 1983: Apuramentos Preliminares,Angola,Luanda,1983,"June, 1984",Rep�blica Popular de ANGOLA - Comissao Central Do Censo - Gabinete Central Do Censo,N/A,6521,34,77,Portugal,,
Angola_1984_T4_g50pe,cago_19790101_0006_7685701,Demographic Bulletin No.2 of the Province of Namibe,BOLETIM DEMOGRAFICO N'2DA PROV�NCIA DO NAMIBE,Angola,Namibe,1984,"June, 1986",Rep�blica Popular de ANGOLA - Ministerio Do Plano - Instituto Nacional De Estatistica,N/A,1382,2,26,Portugal,,
Mexico_1995_T1_g10p,cmexx_19950101_0001_158965.pdf,Final results of the 1995 Population and Housing Cenus of Zacatecas: Basic Tabulations,Zacatecas RESULTADOS DEFINITIVOS: TABULADOS BASICOS,Angola,Zacatecas,1995,1996,"Instituto Nacional de Estadisica,Geognafiae Inform�tica",N/A,69776,82,538,Portugal,,
LITHUANIA_2007_T1_go0N,cltu_20070101_0005_162378,2007 Lithuanian Population by Age,LIETUVOS GYVENTOJAI PAGAL AM�I? 2007 Lithuanian Population by Age,Lithuania,National Record,2007,2007,STATISTIKOS DEPARTAMENTAS STATISTICS LITHUANIA,N/A,18700,66 & 78,90,Russia,,
LITHUANIA_2000_T1_g50N,cltu_20000101_0007_114112,"2000 ROUND OF POPULATION AND HOUSING CENSUSES IN ESTONIA, LATVIA AND LITHUANIA","2000 ROUND OF POPULATION AND HOUSING CENSUSES IN ESTONIA, LATVIA AND LITHUANIA","Lithuania, Estonia, Latvia",National Record,2000,2003,"Statistical Office of ESTONIA, Central Statistic Bureau of LATVIA, Statistics LITHUANIA",N/A,15800,25,65,Russia,,
LITHUANIA_2005_map1,cltu_20040101_0005_114113,Demographic Yearbook 2004,Demografijos metra�tis Demographic Yearbook 2004,Lithuania,National Record,2004,2005,STATISTIKOS DEPARTAMENTAS STATISTICS LITHUANIA,N/A,36900,30,207,Russia,,
YEMEN_1975_T1#_g00s,cyem_19690101_0001_7739104,The HOUSING AND POPULATION CENSUS Feb - 1975 Preliminary Results,The HOUSING AND POPULATION CENSUS Feb - 1975 Preliminary Results,Yemen,National Record,1975,Jan 22 1979,Yemen Arab Republic Central Planning Organisation,N/A,3930,28,39,United Kindom,,
YEMEN_1975_T2#_g0os,cyem_19690101_0002_7739104,Preliminary Report No. 5 Databank of Yemen's Population and Housing Census 1975,Preliminary Report No. 5 Databank of Yemen's Population and Housing Census 1975,Yemen,National Record,1975,1977 May,"The Swiss Technical Co-operation Service, Berne and the Central Planning Organisation, P.O. Box 175, San'a",N/A,34000,46,272,United Kindom,,
