Table Name:,Name,Title (In English),Original title,Country,Province,Date/Year of census,Date/Year of Publication,Author/Publisher,Volume number (if applicable),File size of pdf original file  (KB),Number of Pages of Table,Number of pages of original file,Colonising power,,Meta Data Log of Tables collected,N/A: Not Available
BELGIAN CONGO_1952_T3_00cp,czar_19520101_0001_114168,"Results of the general census of the non-indigenous population of the Belgian Congo and Ruanda-Urundi of January 3, 1952",Resultats du recensement general de la population non-indigene du Congo-Belge et du Ruanda-Urundi du 3 janvier 1952,Belgian Congo (Democratic Republic of Congo),National Record,3/01/1952,N/A,Conseil Sup�rieur des Statisiques Coloniales,N/A,5800,1,95,Beligum,,,
RUANDI URUNDI_1952_T3_g0cN,czar_19520101_0001_114168,"Results of the general census of the non-indigenous population of the Belgian Congo and Ruanda-Urundi of January 3, 1952",Resultats du recensement general de la population non-indigene du Congo-Belge et du Ruanda-Urundi du 3 janvier 1952,"Ruanda Urundi (Rwanda, Burundi)",National Record,3/01/1952,N/A,Conseil Sup�rieur des Statisiques Coloniales,N/A,5800,1,95,Beligum,,,
BELGIAN CONGO_1955_T1_000d,czar_19520101_0008_114168.pdf,GENERAL PICTURE OF CONGOLESE DEMOGRAPHICS DEMOGRAPHIC SAMPLE SURVEY,TABLEAU G�N�RAL DE LA DEMOGRAPHIE CONGOLAISE ENQU�TE D�MOGRAPHIQUE PAR SONDAGE,Belgian Congo (Democratic Republic of Congo),National Record,1955 - 1957,Jul-61,LE BUREAU DE LA DEMOGRAPHIE ,N/A,32863,6,238,Beligum,,,
MONACO_1975_T1_g50N,cmco_19680101_0004_7753004,General Population Census 1975,Recensement g�n�ral de la population 1975,Monaco,National Record,1975,1st December 1977,MAIRIE DE MONACO SERVICE DES STATISTIQUES ET DES ETUDES ECONOMIQUE,N/A,3300,1,24,France,,,
MONACO_1982_T1_g5cn,cmco_19700101_0002_7735805 ,General Population Census 1982,Recensement g�n�ral de la population 1982,Monaco,National Record,1982,15th October 1982,MAIRIE DE MONACO SERVICE DES STATISTIQUES ET DES ETUDES ECONOMIQUE ,N/A,8000,1,123,France,,,
MONACO_1968_T1_g50N,cmco_19680101_0001_7753004,General Population Census 1968,Recensement g�n�ral de la population 1968,Monaco,National Record,1968,8th July 1969,MAIRIE DE MONACO SERVICE DES STATISTIQUES ET DES ETUDES ECONOMIQUE ,N/A,6000,1,67,France,,,
KUWAIT_1961_T1_ gx0N,ckwi_19570101_0002_75666�,Statistical Abstract 1964,Statistical Abstract 1964,Kuwait,National Record,1964,1964,State of Kuwait The Planning Board Central Statistical Office,N/A,10100,1,92,N/A,,,
KUWAIT_1970_T1_g50N,ckwi_19700101_0003_77880,Population Census 1970,Population Census 1970,Kuwait,National Record,1970,Oct-72,State of Kuwait The Planning Board Central Statistical Office,N/A,20900,1,132,N/A,,,
RYUKYUISLANDS_1950_T1_g10d__002,cryu_19460101_0004_75623,Population Census 1 December 1950 Okinawa Gunto Ogimi Son Book 2,N/A,RYUKYUI ISLANDS,RYUKYUI ISLANDS,1st December 1950,N/A,Military Government of Ryukyu Islands � Programs and Statistics Section of Military Government Headquarters,Book 2,14100,3,59,Japan,,,
RYUKYUISLANDS_1950_T3_g5cd_012�,cryu_19500101_0001_75624,Population Census 1 December 1950 Okinawa Gunto Ginoza Son Book 12,N/A,RYUKYUI ISLANDS,RYUKYUI ISLANDS,1st December 1950,N/A,Military Government of Ryukyu Islands � Programs and Statistics Section of Military Government Headquarters,Book 12,15500,3,60,Japan,,,
RYUKYUISLANDS_1950_T2_g5bd_054,cryu_19500101_0008_75625,Population Census 1 December 1950 Okinawa Gunto Urasoe Son Book 28,N/A,RYUKYUI ISLANDS,RYUKYUI ISLANDS,1st December 1950,N/A,Military Government of Ryukyu Islands � Programs and Statistics Section of Military Government Headquarters,Book 28,10300,4,59,Japan,,,
