Table Name:,Name,Title (In English),Original title,Country,Province,Date/Year of census,Date/Year of Publication,Author/Publisher,Volume number (if applicable),File size of pdf original file  (KB),Number of Pages of Table,Number of pages of original file,Colonising power,,Meta Data Log of Tables collected
N/A,cbrax_18720101_0001_76328,Province of Parahyba do norte - general population,PROVINCIA DA PARAHYBA DO NORTE - Quadro Geral da Populacao da Parochia De. N. S. NEVES,Brazil,Parahyba,1872,N/A,N/A,N/A,55891,N/A,121,Protugal,,
French_Guiana_1982_T2_g5cd0.,cguf_19740101_0007_7730101,Results of the population census in the overseas departments March 9 1982: Guiana,Résultats Du Recensement De La Population Dans Les Départements D'outre-Mer 9 Mars 1982: Guyane ,French Guiana,National Record,9th of March 1982,May-83,DOM-TOM Division of The INSEE general directorate,N/A,29700,2,268,France,,
French_Guiana_1954_T3_g5cN,cguf_19460101_0007_7586403,Statistical Results Of The General Population Census of The Overseas Departments Carried Out on July 1 1954,Résultats Statistiques Du Recensement Général De La Population Des Départements D'Outre Mer Effectué le 1er Juillet 1964,French Guiana,National Record,1st of july 1954,1957,"Ministry of Finance, Economic Affairs and Planning",N/A,7800,1,47,France,,
French_Guiana_1974_T1_g10N0,cguf_19740101_0004_7730101,General Population Census in 1974 Overseas Departments French Guiana: Tables on Demographic Structure,Recensement General De La Population En 1974 Departements D'Outre Mer Guyane: Tableaux sur la structure démographique.,French Guiana,National Record,16th of october 1974,Feb-83,DOM-TOM Division of The INSEE general directorate,66,16300,1,208,France,,
French_Guiana_1967_T3_gxbN,cguf_19460101_0001_7586403,Statistical Results of The General Census of the Population of The Overseas Departments Carried Out on October 16.1967,Résultats Statistiques Du Recensement Général De La Population Des Départements D'Outre Mer En viguer lle 16 Octobre 1967,French Guiana,National Record,16th of october 1967,1969,INSEE,N/A,21500,1,177,France,,
French_Guiana_1946_T1_g50d,cguf_19460101_0009_7586403,Monthly Bulletin of Overseas Statistics Results of the 1946 Census - Overseas territories (French Citizens of Metropolitan Origin and Foreigner) French Guiana and Inini,Bulletin Mensuel De Statistique D'Outre-Mer Résultats  Du Recensement De 1946 Territoires D'Outre Mer (Français d'origine Metropole et étrangers) Guyane et Inini,French Guiana,National Record,25-May-46,1st of July 1948,"INSEE and Ministry of ""France D'Outre-Mer"" Service Colonial de Statistiques (SCS)",7,7700,2,47,France,,
ZAIRE_1970_T1_gXCD,czar_19670101_0005_7751101.pdf,General Census of the Population of the Demograted Republic of the Congo 1970,RECENSEMENT GENERAL DE LA POPULATION DE LA REPUBLIQUE DEMOGRATIQUE DU CONGO 1970,Democratic Republic of Congo,National Record,31/05/1970,31/07/1970,INSTITUT NATIONAL DE LA STATISTIQUE,N/A,"17,804",38,201,Beligum,,
KINSHASA_1967_T1_g1bN,czar_19670101_0001_7751101.pdf,Socio-Demographic Study of Kinshasa 1967,Etude Socio-Demographique de Kinshasa 1967,Democratic Republic of Congo,Provincial Record,1967,May-69,OFFICE NATIONAL DE LA RECHERCHE ET DU DEVELOPMENT,N/A,20225,3,199,Beligum,,
BELGIAN CONGO_1958_T1_g10N,czar_19520101_0004_114168.pdf,Results of the census of the non-indigenous population as of 3-1-1958,Résultats du recensement de la population non indigéne au 3-1-1958,Belgian Congo (Democratic Republic of Congo),National Record,3/01/1958,Apr-59,Bulletin Mansuel des Statistiques Générales du Congo Belge et du Ruanda-Urundi,1,8089,4,109,Beligum,,
RUANDA URUNDI_1958_T1_g10N,czar_19520101_0004_114168.pdf,Results of the census of the non-indigenous population as of 3-1-1958,Résultats du recensement de la population non indigéne au 3-1-1958,"Ruanda Urundi (Rwanda, Burundi)",National Record,3/01/1958,Apr-59,Bulletin Mansuel des Statistiques Générales du Congo Belge et du Ruanda-Urundi,1,8089,4,109,Beligum,,
BELGIAN CONGO_1952_T1_00cd,czar_19520101_0001_114168,"Results of the general census of the non-indigenous population of the Belgian Congo and Ruanda-Urundi of January 3, 1952",Resultats du recensement general de la population non-indigene du Congo-Belge et du Ruanda-Urundi du 3 janvier 1952,Belgian Congo (Democratic Republic of Congo),National Record,3/01/1952,N/A,Conseil Supérieur des Statisiques Coloniales,N/A,5800,2,95,Beligum,,
